service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A1,1,1,1,1,1,0,0,20240101,20241231
A10,1,1,1,1,1,0,0,20240101,20241231
A11,1,1,1,1,1,0,0,20240101,20241231
A12,1,1,1,1,1,0,0,20240101,20241231
A13,1,1,1,1,1,0,0,20240101,20241231
A14,1,1,1,1,1,0,0,20240101,20241231
A15,1,1,1,1,1,0,0,20240101,20241231
A16,1,1,1,1,1,0,0,20240101,20241231
A17,1,1,1,1,1,0,0,20240101,20241231
A18,1,1,1,1,1,0,0,20240101,20241231
A19,1,1,1,1,1,0,0,20240101,20241231
A2,1,1,1,1,1,0,0,20240101,20241231
A20,1,1,1,1,1,0,0,20240101,20241231
A21,1,1,1,1,1,0,0,20240101,20241231
A22,1,1,1,1,1,0,0,20240101,20241231
A23,1,1,1,1,1,0,0,20240101,20241231
A24,1,1,1,1,1,0,0,20240101,20241231
A25,1,1,1,1,1,0,0,20240101,20241231
A26,1,1,1,1,1,0,0,20240101,20241231
A27,1,1,1,1,1,0,0,20240101,20241231
A28,1,1,1,1,1,0,0,20240101,20241231
A29,1,1,1,1,1,0,0,20240101,20241231
A3,1,1,1,1,1,0,0,20240101,20241231
A30,1,1,1,1,1,0,0,20240101,20241231
A31,1,1,1,1,1,0,0,20240101,20241231
A32,1,1,1,1,1,0,0,20240101,20241231
A33,0,0,0,0,0,1,0,20240101,20241231
A34,0,0,0,0,0,1,0,20240101,20241231
A35,0,0,0,0,0,1,0,20240101,20241231
A36,0,0,0,0,0,1,0,20240101,20241231
A37,0,0,0,0,0,1,0,20240101,20241231
A38,0,0,0,0,0,1,0,20240101,20241231
A39,0,0,0,0,0,1,0,20240101,20241231
A4,1,1,1,1,1,0,0,20240101,20241231
A40,0,0,0,0,0,1,0,20240101,20241231
A41,0,0,0,0,0,1,0,20240101,20241231
A42,0,0,0,0,0,1,0,20240101,20241231
A43,0,0,0,0,0,1,0,20240101,20241231
A44,0,0,0,0,0,1,0,20240101,20241231
A45,0,0,0,0,0,1,0,20240101,20241231
A46,0,0,0,0,0,1,0,20240101,20241231
A47,0,0,0,0,0,0,1,20240101,20241231
A48,0,0,0,0,0,0,1,20240101,20241231
A49,0,0,0,0,0,0,1,20240101,20241231
A5,1,1,1,1,1,0,0,20240101,20241231
A50,0,0,0,0,0,0,1,20240101,20241231
A51,0,0,0,0,0,0,1,20240101,20241231
A6,1,1,1,1,1,0,0,20240101,20241231
A7,1,1,1,1,1,0,0,20240101,20241231
A8,1,1,1,1,1,0,0,20240101,20241231
A9,1,1,1,1,1,0,0,20240101,20241231
B1,0,0,0,0,0,1,0,20240101,20241231
B2,0,0,0,0,0,1,0,20240101,20241231
B3,0,0,0,0,0,1,0,20240101,20241231
B4,0,0,0,0,0,1,0,20240101,20241231
B5,0,0,0,0,0,0,1,20240101,20241231
B6,0,0,0,0,0,0,1,20240101,20241231
B7,0,0,0,0,0,0,1,20240101,20241231
B8,0,0,0,0,0,0,1,20240101,20241231
B9,0,0,0,0,0,0,1,20240101,20241231
R1,1,1,1,1,1,0,0,20240101,20241231
R10,1,1,1,1,1,0,0,20240101,20241231
R11,1,1,1,1,1,0,0,20240101,20241231
R12,1,1,1,1,1,0,0,20240101,20241231
R13,1,1,1,1,1,0,0,20240101,20241231
R14,1,1,1,1,1,0,0,20240101,20241231
R15,1,1,1,1,1,0,0,20240101,20241231
R16,1,1,1,1,1,0,0,20240101,20241231
R17,1,1,1,1,1,0,0,20240101,20241231
R18,1,1,1,1,1,0,0,20240101,20241231
R19,1,1,1,1,1,0,0,20240101,20241231
R2,1,1,1,1,1,0,0,20240101,20241231
R20,1,1,1,1,1,0,0,20240101,20241231
R21,1,1,1,1,1,0,0,20240101,20241231
R22,1,1,1,1,1,0,0,20240101,20241231
R23,1,1,1,1,1,0,0,20240101,20241231
R24,1,1,1,1,1,0,0,20240101,20241231
R25,1,1,1,1,1,0,0,20240101,20241231
R26,1,1,1,1,1,0,0,20240101,20241231
R27,1,1,1,1,1,0,0,20240101,20241231
R28,1,1,1,1,1,0,0,20240101,20241231
R29,1,1,1,1,1,0,0,20240101,20241231
R3,1,1,1,1,1,0,0,20240101,20241231
R30,1,1,1,1,1,0,0,20240101,20241231
R31,1,1,1,1,1,0,0,20240101,20241231
R32,1,1,1,1,1,0,0,20240101,20241231
R33,1,1,1,1,1,0,0,20240101,20241231
R34,0,0,0,0,0,1,0,20240101,20241231
R35,0,0,0,0,0,1,0,20240101,20241231
R36,0,0,0,0,0,1,0,20240101,20241231
R37,0,0,0,0,0,1,0,20240101,20241231
R38,0,0,0,0,0,1,0,20240101,20241231
R39,0,0,0,0,0,1,0,20240101,20241231
R4,1,1,1,1,1,0,0,20240101,20241231
R40,0,0,0,0,0,1,0,20240101,20241231
R41,0,0,0,0,0,1,0,20240101,20241231
R42,0,0,0,0,0,1,0,20240101,20241231
R43,0,0,0,0,0,1,0,20240101,20241231
R44,0,0,0,0,0,1,0,20240101,20241231
R45,0,0,0,0,0,1,0,20240101,20241231
R46,0,0,0,0,0,1,0,20240101,20241231
R47,0,0,0,0,0,1,0,20240101,20241231
R48,0,0,0,0,0,1,0,20240101,20241231
R49,0,0,0,0,0,0,1,20240101,20241231
R5,1,1,1,1,1,0,0,20240101,20241231
R50,0,0,0,0,0,0,1,20240101,20241231
R51,0,0,0,0,0,0,1,20240101,20241231
R52,0,0,0,0,0,0,1,20240101,20241231
R53,0,0,0,0,0,0,1,20240101,20241231
R6,1,1,1,1,1,0,0,20240101,20241231
R7,1,1,1,1,1,0,0,20240101,20241231
R8,1,1,1,1,1,0,0,20240101,20241231
R9,1,1,1,1,1,0,0,20240101,20241231
V1I,1,1,1,1,1,0,0,20240101,20241231
V1V,1,1,1,1,1,0,0,20240101,20241231
RS1,1,1,1,1,1,0,0,20240101,20241231
RS2,1,1,1,1,1,0,0,20240101,20241231
RS3,1,1,1,1,1,0,0,20240101,20241231
RS4,1,1,1,1,1,0,0,20240101,20241231
RS5,1,1,1,1,1,0,0,20240101,20241231
RS6,1,1,1,1,1,0,0,20240101,20241231
RS7,1,1,1,1,1,0,0,20240101,20241231
RS8,1,1,1,1,1,0,0,20240101,20241231
RS9,1,1,1,1,1,0,0,20240101,20241231
RS10,1,1,1,1,1,0,0,20240101,20241231
RS11,1,1,1,1,1,0,0,20240101,20241231
RS12,1,1,1,1,1,0,0,20240101,20241231
RS13,1,1,1,1,1,0,0,20240101,20241231
RS14,1,1,1,1,1,0,0,20240101,20241231
RS15,1,1,1,1,1,0,0,20240101,20241231
RS16,1,1,1,1,1,0,0,20240101,20241231
RS17,1,1,1,1,1,0,0,20240101,20241231
RS18,1,1,1,1,1,0,0,20240101,20241231
RS19,1,1,1,1,1,0,0,20240101,20241231
RS20,1,1,1,1,1,0,0,20240101,20241231
RS21,1,1,1,1,1,0,0,20240101,20241231
RS22,1,1,1,1,1,0,0,20240101,20241231
RS23,1,1,1,1,1,0,0,20240101,20241231
RS24,1,1,1,1,1,0,0,20240101,20241231
RS25,1,1,1,1,1,0,0,20240101,20241231
RS26,1,1,1,1,1,0,0,20240101,20241231
RS27,1,1,1,1,1,0,0,20240101,20241231
RS28,1,1,1,1,1,0,0,20240101,20241231
RS29,1,1,1,1,1,0,0,20240101,20241231
RS30,0,0,0,0,0,1,0,20240101,20241231
RS31,0,0,0,0,0,1,0,20240101,20241231
RS32,0,0,0,0,0,1,0,20240101,20241231
RS33,0,0,0,0,0,1,0,20240101,20241231
RS34,0,0,0,0,0,1,0,20240101,20241231
RS35,0,0,0,0,0,1,0,20240101,20241231
RS36,0,0,0,0,0,1,0,20240101,20241231
RS37,0,0,0,0,0,1,0,20240101,20241231
RS38,0,0,0,0,0,1,0,20240101,20241231
RS39,0,0,0,0,0,1,0,20240101,20241231
RS40,0,0,0,0,0,1,0,20240101,20241231
RS41,0,0,0,0,0,1,0,20240101,20241231
RS42,0,0,0,0,0,1,0,20240101,20241231
RS43,0,0,0,0,0,1,0,20240101,20241231
RS44,0,0,0,0,0,1,0,20240101,20241231
RS45,0,0,0,0,0,1,0,20240101,20241231
RS46,0,0,0,0,0,1,0,20240101,20241231
RS47,0,0,0,0,0,1,0,20240101,20241231
RS48,0,0,0,0,0,1,0,20240101,20241231
RS49,0,0,0,0,0,1,0,20240101,20241231
RS50,0,0,0,0,0,1,0,20240101,20241231
RS51,0,0,0,0,0,1,0,20240101,20241231
RS52,0,0,0,0,0,1,0,20240101,20241231
RS53,0,0,0,0,0,1,0,20240101,20241231
RS54,0,0,0,0,0,1,0,20240101,20241231
RS55,0,0,0,0,0,1,0,20240101,20241231
RS56,0,0,0,0,0,1,0,20240101,20241231
RS57,0,0,0,0,0,1,0,20240101,20241231
RS58,0,0,0,0,0,1,0,20240101,20241231
RS59,0,0,0,0,0,1,0,20240101,20241231
RS60,0,0,0,0,0,1,0,20240101,20241231
RS61,0,0,0,0,0,1,0,20240101,20241231
